approach,share_reviewed,accounts_reviewed,precision,recall
B2 Amount + velocity,0.11,1020,0.4166666666666667,0.49824150058616645
B2 Amount + velocity,0.115,1067,0.4029990627928772,0.5041031652989449
B2 Amount + velocity,0.12000000000000001,1113,0.389937106918239,0.5087924970691676
B2 Amount + velocity,0.125,1160,0.3767241379310345,0.5123094958968347
B2 Amount + velocity,0.13,1206,0.3673300165837479,0.5193434935521688
B2 Amount + velocity,0.135,1252,0.3570287539936102,0.5240328253223916
B2 Amount + velocity,0.14,1299,0.3464203233256351,0.5275498241500586
B2 Amount + velocity,0.14500000000000002,1345,0.337546468401487,0.5322391559202814
B2 Amount + velocity,0.15,1392,0.32830459770114945,0.5357561547479485
B2 Amount + velocity,0.155,1438,0.3184979137691238,0.536928487690504
B2 Amount + velocity,0.16,1484,0.3140161725067385,0.5463071512309496
B2 Amount + velocity,0.165,1531,0.30502939255388634,0.5474794841735052
B2 Amount + velocity,0.17,1577,0.2993024730500951,0.5533411488862837
B2 Amount + velocity,0.17500000000000002,1623,0.29390018484288355,0.5592028135990621
B2 Amount + velocity,0.18000000000000002,1670,0.2868263473053892,0.5615474794841735
B2 Amount + velocity,0.185,1716,0.28088578088578087,0.5650644783118406
B2 Amount + velocity,0.19,1763,0.2745320476460579,0.567409144196952
B2 Amount + velocity,0.195,1809,0.2697622996130459,0.5720984759671747
B2 Amount + velocity,0.2,1855,0.2668463611859838,0.5803048065650644
B5a Integrated rules (>=2 families),0.005,46,0.6086956521739131,0.032825322391559206
B5a Integrated rules (>=2 families),0.01,93,0.6989247311827957,0.07620164126611957
B5a Integrated rules (>=2 families),0.015,139,0.7769784172661871,0.12661195779601406
B5a Integrated rules (>=2 families),0.02,186,0.7634408602150538,0.16647127784290738
B5a Integrated rules (>=2 families),0.025,232,0.7413793103448276,0.20164126611957797
B5a Integrated rules (>=2 families),0.030000000000000002,278,0.7338129496402878,0.2391559202813599
B5a Integrated rules (>=2 families),0.034999999999999996,325,0.6892307692307692,0.26260257913247365
B5a Integrated rules (>=2 families),0.04,371,0.633423180592992,0.27549824150058616
B5a Integrated rules (>=2 families),0.045,417,0.5851318944844125,0.28604923798358733
B5a Integrated rules (>=2 families),0.049999999999999996,464,0.5474137931034483,0.2977725674091442
B5a Integrated rules (>=2 families),0.05,464,0.5474137931034483,0.2977725674091442
B5a Integrated rules (>=2 families),0.055,510,0.5098039215686274,0.3048065650644783
B5a Integrated rules (>=2 families),0.06,557,0.47755834829443444,0.3118405627198124
B5a Integrated rules (>=2 families),0.065,603,0.4527363184079602,0.32004689331770225
B5a Integrated rules (>=2 families),0.07,649,0.4206471494607088,0.32004689331770225
B5a Integrated rules (>=2 families),0.07500000000000001,696,0.39511494252873564,0.3223915592028136
B5a Integrated rules (>=2 families),0.08,742,0.3719676549865229,0.3235638921453693
B5a Integrated rules (>=2 families),0.085,789,0.3637515842839037,0.3364595545134818
B5a Integrated rules (>=2 families),0.09000000000000001,835,0.3437125748502994,0.3364595545134818
B5a Integrated rules (>=2 families),0.095,881,0.32690124858115777,0.3376318874560375
B5a Integrated rules (>=2 families),0.1,928,0.3135775862068966,0.34114888628370454
B5a Integrated rules (>=2 families),0.10500000000000001,974,0.3008213552361396,0.34349355216881594
B5a Integrated rules (>=2 families),0.11,1020,0.29411764705882354,0.3516998827667057
B5a Integrated rules (>=2 families),0.115,1067,0.31021555763823805,0.388042203985932
B5a Integrated rules (>=2 families),0.12000000000000001,1113,0.3270440251572327,0.42672919109026963
B5a Integrated rules (>=2 families),0.125,1160,0.33189655172413796,0.451348182883939
B5a Integrated rules (>=2 families),0.13,1206,0.32669983416252074,0.4618991793669402
B5a Integrated rules (>=2 families),0.135,1252,0.3226837060702875,0.47362250879249707
B5a Integrated rules (>=2 families),0.14,1299,0.31793687451886066,0.48417350527549824
